episode,score,epsilon,steps
0,2944,0.050,376
1,5496,0.050,1058
2,636,0.050,585
3,1332,0.050,490
4,1208,0.050,385
5,1292,0.050,598
6,1748,0.050,563
7,2840,0.050,722
8,1360,0.050,614
9,1160,0.050,292
10,696,0.050,297
11,828,0.050,408
12,892,0.050,606
13,2700,0.050,624
14,2552,0.050,714
15,1404,0.050,503
16,1428,0.050,755
17,1096,0.050,367
18,668,0.050,295
19,1508,0.050,555
20,5324,0.050,909
21,1448,0.050,322
22,2184,0.050,583
23,676,0.050,179
24,620,0.050,189
25,1496,0.050,160
26,856,0.050,139
27,1464,0.050,261
28,1304,0.050,238
29,2184,0.050,324
30,1060,0.050,455
31,712,0.050,166
32,2296,0.050,329
33,1004,0.050,164
34,1460,0.050,341
35,1448,0.050,385
36,2536,0.050,319
37,712,0.050,453
38,1168,0.050,180
39,740,0.050,167
40,2864,0.050,318
41,2208,0.050,250
42,1756,0.050,292
43,2036,0.050,437
44,644,0.050,114
45,1168,0.050,209
46,1748,0.050,389
47,948,0.050,413
48,752,0.050,134
49,2320,0.050,550
50,3608,0.050,516
51,1496,0.050,252
52,1672,0.050,291
53,724,0.050,147
54,1256,0.050,286
55,1260,0.050,209
56,676,0.050,196
57,1592,0.050,303
58,2600,0.050,533
59,1668,0.050,477
60,824,0.050,139
61,2004,0.050,492
62,2312,0.050,382
63,1352,0.050,332
64,1364,0.050,307
65,1108,0.050,126
66,1240,0.050,283
67,740,0.050,243
68,1192,0.050,181
69,1776,0.050,341
70,3936,0.050,527
71,752,0.050,264
72,1612,0.050,392
73,796,0.050,103
74,2772,0.050,354
75,2372,0.050,500
76,2868,0.050,301
77,1792,0.050,317
78,2124,0.050,415
79,916,0.050,163
80,2692,0.050,562
81,860,0.050,209
82,1412,0.050,407
83,1700,0.050,271
84,884,0.050,128
85,2472,0.050,241
86,696,0.050,114
87,1488,0.050,225
88,2932,0.050,890
89,2784,0.050,359
90,2292,0.050,438
91,1196,0.050,259
92,3056,0.050,354
93,1144,0.050,165
94,352,0.050,168
95,1896,0.050,355
96,824,0.050,228
97,852,0.050,154
98,732,0.050,184
99,1320,0.050,161
100,2740,0.050,503
101,3128,0.050,319
102,2836,0.050,448
103,4984,0.050,633
104,2168,0.050,442
105,1436,0.050,352
106,2704,0.050,615
107,1552,0.050,387
108,588,0.050,94
109,2308,0.050,315
110,2200,0.050,674
111,728,0.050,357
112,1468,0.050,335
113,2052,0.050,279
114,1320,0.050,277
115,1796,0.050,363
116,2384,0.050,334
117,1132,0.050,154
118,1468,0.050,247
119,2188,0.050,633
120,1728,0.050,170
121,1360,0.050,337
122,3256,0.050,816
123,1620,0.050,211
124,2680,0.050,491
125,1756,0.050,231
126,892,0.050,252
127,860,0.050,438
128,3084,0.050,696
129,1676,0.050,740
130,2404,0.050,594
131,1460,0.050,152
132,1888,0.050,580
133,1572,0.050,269
134,2776,0.050,569
135,3172,0.050,555
136,1420,0.050,456
137,776,0.050,126
138,2572,0.050,539
139,1468,0.050,280
140,848,0.050,181
141,2264,0.050,331
142,1104,0.050,480
143,2744,0.050,499
144,1672,0.050,327
145,1440,0.050,684
146,2868,0.050,834
147,1120,0.050,356
148,1348,0.050,265
149,1284,0.050,169
150,2748,0.050,360
151,1520,0.050,424
152,344,0.050,87
153,2812,0.050,477
154,1432,0.050,218
155,920,0.050,351
156,1724,0.050,315
157,2776,0.050,323
158,1276,0.050,324
159,3276,0.050,560
160,1728,0.050,400
161,300,0.050,54
162,1712,0.050,312
163,1596,0.050,204
164,668,0.050,135
165,3140,0.050,593
166,2280,0.050,385
167,2308,0.050,211
168,772,0.050,99
169,1236,0.050,146
170,3232,0.050,615
171,2388,0.050,269
172,1480,0.050,465
173,3120,0.050,423
174,1348,0.050,193
175,1696,0.050,378
176,3284,0.050,464
177,652,0.050,100
178,1396,0.050,166
179,1332,0.050,180
180,752,0.050,188
181,388,0.050,65
182,5304,0.050,538
183,2192,0.050,211
184,1616,0.050,679
185,744,0.050,447
186,1068,0.050,123
187,1236,0.050,163
188,1676,0.050,181
189,1504,0.050,185
190,1628,0.050,245
191,1540,0.050,170
192,1332,0.050,168
193,2868,0.050,248
194,372,0.050,322
195,3060,0.050,343
196,2724,0.050,232
197,3428,0.050,611
198,1200,0.050,329
199,1320,0.050,247
200,2068,0.050,296
201,1468,0.050,152
202,2768,0.050,432
203,1008,0.050,153
204,980,0.050,304
205,1132,0.050,257
206,1420,0.050,587
207,808,0.050,145
208,1120,0.050,125
209,1280,0.050,155
210,484,0.050,219
211,2424,0.050,257
212,2184,0.050,342
213,1288,0.050,132
214,2464,0.050,395
215,588,0.050,275
216,1720,0.050,175
217,2060,0.050,416
218,2792,0.050,295
219,1340,0.050,298
220,1400,0.050,381
221,1992,0.050,693
222,2660,0.050,350
223,1608,0.050,574
224,2444,0.050,505
225,1596,0.050,261
226,1128,0.050,197
227,1428,0.050,506
228,2476,0.050,327
229,1392,0.050,355
230,860,0.050,118
231,492,0.050,222
232,3392,0.050,558
233,3172,0.050,588
234,668,0.050,140
235,2524,0.050,369
236,1260,0.050,168
237,3220,0.050,460
238,3024,0.050,338
239,2372,0.050,467
240,3236,0.050,349
241,1292,0.050,225
242,2424,0.050,346
243,2524,0.050,407
244,3164,0.050,440
245,968,0.050,290
246,3932,0.050,403
247,2568,0.050,692
248,1292,0.050,220
249,2184,0.050,454
250,1456,0.050,262
251,3208,0.050,707
252,2264,0.050,533
253,1664,0.050,486
254,1392,0.050,411
255,3528,0.050,784
256,2116,0.050,227
257,2448,0.050,327
258,3088,0.050,510
259,972,0.050,153
260,3320,0.050,488
261,3572,0.050,485
262,1516,0.050,500
263,1416,0.050,191
264,1232,0.050,419
265,2832,0.050,434
266,1588,0.050,220
267,2236,0.050,302
268,2072,0.050,303
269,1824,0.050,630
270,1548,0.050,256
271,1496,0.050,207
272,2336,0.050,271
273,5060,0.050,617
274,1648,0.050,271
275,2512,0.050,513
276,1312,0.050,245
277,1556,0.050,299
278,2428,0.050,574
279,3512,0.050,417
280,3248,0.050,471
281,3244,0.050,401
282,2440,0.050,215
283,3176,0.050,391
284,1620,0.050,206
285,1108,0.050,210
286,1428,0.050,499
287,1624,0.050,222
288,1160,0.050,254
289,1332,0.050,162
290,1768,0.050,237
291,728,0.050,177
292,676,0.050,119
293,944,0.050,238
294,1048,0.050,353
295,1484,0.050,175
296,2084,0.050,518
297,2404,0.050,786
298,1560,0.050,167
299,2712,0.050,440
300,1368,0.050,143
301,844,0.050,164
302,1608,0.050,281
303,708,0.050,156
304,1860,0.050,393
305,1492,0.050,404
306,1436,0.050,204
307,1216,0.050,440
308,3568,0.050,574
309,1552,0.050,169
310,396,0.050,66
311,2256,0.050,238
312,2824,0.050,448
313,3412,0.050,492
314,2772,0.050,534
315,2992,0.050,287
316,1092,0.050,304
317,2392,0.050,329
318,1240,0.050,358
319,2300,0.050,447
320,820,0.050,280
321,1420,0.050,175
322,1308,0.050,203
323,1312,0.050,180
324,7172,0.050,818
325,860,0.050,424
326,3752,0.050,691
327,672,0.050,134
328,1444,0.050,390
329,2884,0.050,638
330,3320,0.050,637
331,2188,0.050,208
332,3172,0.050,645
333,2452,0.050,365
334,1696,0.050,486
335,1148,0.050,225
336,2764,0.050,360
337,3032,0.050,325
338,4220,0.050,439
339,2948,0.050,413
340,1348,0.050,612
341,2456,0.050,436
342,3180,0.050,631
343,1472,0.050,288
344,2844,0.050,404
345,1780,0.050,259
346,1676,0.050,540
347,6380,0.050,734
348,5616,0.050,484
349,1316,0.050,158
350,976,0.050,295
351,2292,0.050,314
352,1720,0.050,386
353,912,0.050,129
354,1648,0.050,646
355,6804,0.050,724
356,592,0.050,121
357,1348,0.050,177
358,1092,0.050,164
359,808,0.050,154
360,2384,0.050,221
361,332,0.050,338
362,4260,0.050,501
363,2508,0.050,426
364,3160,0.050,379
365,2672,0.050,344
366,1576,0.050,355
367,3592,0.050,694
368,1208,0.050,224
369,2684,0.050,492
370,2700,0.050,326
371,3280,0.050,360
372,1152,0.050,356
373,4936,0.050,477
374,3052,0.050,560
375,1684,0.050,467
376,1824,0.050,506
377,6440,0.050,585
378,2176,0.050,537
379,2552,0.050,339
380,3636,0.050,457
381,2188,0.050,237
382,1612,0.050,185
383,852,0.050,341
384,2900,0.050,407
385,2064,0.050,369
386,3496,0.050,494
387,3560,0.050,645
388,3008,0.050,605
389,1440,0.050,149
390,1468,0.050,198
391,4132,0.050,662
392,2196,0.050,352
393,5296,0.050,725
394,3020,0.050,262
395,1140,0.050,203
396,2372,0.050,592
397,2212,0.050,340
398,1852,0.050,235
399,1376,0.050,342
400,1160,0.050,226
401,3056,0.050,528
402,1496,0.050,234
403,1432,0.050,178
404,1384,0.050,412
405,2444,0.050,359
406,5768,0.050,551
407,3572,0.050,444
408,3564,0.050,350
409,1768,0.050,410
410,1884,0.050,247
411,5216,0.050,912
412,1900,0.050,228
413,1812,0.050,495
414,1760,0.050,481
415,1564,0.050,192
416,1752,0.050,287
417,3020,0.050,331
418,1500,0.050,348
419,1372,0.050,307
420,2240,0.050,426
421,1432,0.050,274
422,2800,0.050,292
423,5028,0.050,461
424,1028,0.050,257
425,3976,0.050,659
426,2164,0.050,271
427,1032,0.050,250
428,2872,0.050,315
429,1508,0.050,279
430,2804,0.050,318
431,2108,0.050,280
432,1596,0.050,163
433,2476,0.050,284
434,2148,0.050,261
435,3420,0.050,474
436,3600,0.050,514
437,1732,0.050,197
438,2180,0.050,378
439,1652,0.050,452
440,2488,0.050,322
441,3096,0.050,271
442,4136,0.050,344
443,1584,0.050,484
444,1080,0.050,218
445,5512,0.050,590
446,4876,0.050,429
447,3272,0.050,394
448,4660,0.050,536
449,3992,0.050,391
450,1204,0.050,131
451,1288,0.050,133
452,2944,0.050,324
453,3008,0.050,281
454,1316,0.050,218
455,1780,0.050,380
456,1732,0.050,304
457,1300,0.050,324
458,1124,0.050,198
459,1180,0.050,248
460,1832,0.050,313
461,2596,0.050,291
462,2788,0.050,413
463,1724,0.050,465
464,1084,0.050,168
465,2352,0.050,341
466,1464,0.050,160
467,3168,0.050,272
468,3144,0.050,362
469,3056,0.050,327
470,1612,0.050,257
471,1584,0.050,276
472,6076,0.050,503
473,1040,0.050,351
474,3220,0.050,695
475,3436,0.050,312
476,1832,0.050,211
477,736,0.050,234
478,3404,0.050,350
479,1524,0.050,165
480,2516,0.050,445
481,1956,0.050,242
482,2836,0.050,266
483,2372,0.050,330
484,1580,0.050,264
485,3036,0.050,428
486,2020,0.050,218
487,3236,0.050,375
488,2792,0.050,339
489,7092,0.050,676
490,1640,0.050,171
491,5944,0.050,497
492,1924,0.050,244
493,2748,0.050,371
494,1784,0.050,199
495,1656,0.050,257
496,1616,0.050,348
497,1212,0.050,337
498,2488,0.050,269
499,2188,0.050,223
